choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
1,1,1855,1,1,0,0,A,1,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
1,1,1431,0,1,0,0,A,1,1,0,0,1,1,0,0,0,0,1,0
2,1,356,0,0,1,0,B,2,0.5,0,0,0,0.166666666666667,1,0,0,0,0,0
2,1,394,1,0,1,0,B,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0
1,1,334,1,1,0,0,A,1,0.25,0.25,0,1,-0.416666666666667,0,0,0,0,0,0
2,1,852,1,0,1,0,B,2,0.4,0.2,0,0,-0.266666666666667,0,0,0,0,0,0
3,1,557,0,0,0,1,C,3,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,1,0,0,0,0
2,1,1277,1,0,1,0,B,2,0.285714285714286,0.285714285714286,0,1,-0.0476190476190476,0,0,0,0,0,0
2,1,745,1,0,1,0,B,2,0.25,0.375,0,1,0.0416666666666667,0,0,0,0,0,0
1,1,739,0,1,0,0,A,1,0.222222222222222,0.444444444444444,0,0,0.111111111111111,0,1,1,0,0,0
2,1,890,0,0,1,0,B,2,0.2,0.4,0,1,0.0666666666666667,0,0,0,0,0,0
2,1,372,1,0,1,0,B,2,0.1,0.4,0,1,0.0666666666666667,0,0,0,0,0,0
3,1,557,0,0,0,1,C,3,0.1,0.5,0,0,0.166666666666667,0,1,1,0,0,0
2,1,486,0,0,1,0,B,2,0.1,0.5,0,1,0.5,0,0,0,0,0,0
2,1,536,1,0,1,0,B,2,0.1,0.4,0,1,-0.266666666666667,0,0,0,0,0,0
1,1,623,0,1,0,0,A,1,0,0.5,0,0,0.166666666666667,0,1,1,0,0,0
2,1,614,1,0,1,0,B,2,0,0.4,0,1,0.0666666666666667,0,0,0,0,0,0
1,1,562,1,1,0,0,A,1,0,0.5,0,0,0.166666666666667,0,0,0,0,0,0
2,1,1329,1,0,1,0,B,2,0.1,0.4,0,1,-0.266666666666667,0,0,0,0,0,0
2,1,1067,1,0,1,0,B,2,0.1,0.4,0,1,0.0666666666666667,0,0,0,0,0,0
3,1,779,1,0,0,1,C,3,0.1,0.5,0,0,0.166666666666667,0,0,0,0,0,0
2,1,1296,0,0,1,0,B,2,0.1,0.5,0.1,1,0.5,0,1,0,1,0,0
1,1,607,1,1,0,0,A,1,0.1,0.4,0.1,0,0.0666666666666667,0,0,0,0,0,0
3,1,1129,0,0,0,1,C,3,0.2,0.4,0.1,0,0.4,0,1,0,0,0,0
1,1,513,1,1,0,0,A,1,0.2,0.4,0.1,0,-0.266666666666667,0,0,0,0,0,0
1,1,2198,1,1,0,0,A,1,0.3,0.3,0.1,1,-0.0333333333333333,0,0,0,0,0,0
1,1,1073,1,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,0,0,0,0,0
2,1,715,1,0,1,0,B,2,0.5,0.2,0.1,0,0.166666666666667,0,0,0,0,0,0
1,1,590,0,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,1,0,1,0,0
1,1,662,1,1,0,0,A,1,0.4,0.2,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,600,1,0,0,1,C,3,0.5,0.1,0.1,0,0.166666666666667,0,0,0,0,0,0
1,1,708,0,1,0,0,A,1,0.5,0.1,0.1,1,0.5,0,1,0,1,0,0
